               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11997,            0.055243,            0.042467,          0.00020557,            0.020833,           0.0001526,          2.1273e-05,            0.093274,            0.025682,            0.039981,              0.0964,              0.0004,              0.0004
                   1,             0.11563,            0.056949,            0.040483,           0.0010707,            0.014706,          0.00055991,           6.498e-05,            0.084884,            0.030582,            0.034534,            0.091891,          0.00089109,          0.00089109
                   2,             0.10765,            0.060768,            0.037869,           0.0064819,              0.1152,           0.0055809,           0.0014389,            0.077378,            0.035197,            0.027667,            0.087372,           0.0013723,           0.0013723
                   3,            0.099402,            0.063931,            0.033974,           0.0090991,             0.16483,           0.0084115,           0.0018092,            0.074565,            0.036333,            0.025012,            0.082844,           0.0018436,           0.0018436
                   4,             0.10081,            0.068424,            0.031454,           0.0052382,             0.15564,           0.0035629,          0.00084116,            0.076494,             0.03668,            0.022765,            0.078305,            0.002305,            0.002305
                   5,            0.095891,            0.065007,            0.027895,           0.0033729,            0.087623,            0.001866,          0.00054317,            0.076135,            0.053699,            0.019386,            0.073756,           0.0027564,           0.0027564
                   6,            0.092031,            0.067112,            0.024945,             0.33604,            0.079044,           0.0011341,          0.00031766,            0.077085,            0.084871,            0.017617,            0.069198,            0.003198,            0.003198
                   7,            0.091444,            0.066764,            0.024138,             0.34401,             0.20343,            0.008091,           0.0019014,            0.065524,             0.10315,             0.01699,             0.06463,           0.0036297,           0.0036297
                   8,            0.087703,             0.06161,            0.024933,             0.37698,             0.31679,            0.041123,           0.0087541,            0.063616,            0.067127,            0.016988,            0.060052,           0.0040515,           0.0040515
                   9,            0.089614,            0.066925,            0.020387,             0.34725,             0.15196,            0.012057,           0.0019046,            0.078685,            0.064083,            0.017659,            0.055463,           0.0044634,           0.0044634
                  10,            0.084334,            0.052733,            0.020678,             0.37253,             0.23958,            0.039623,            0.007168,            0.061205,            0.040995,            0.015329,            0.050865,           0.0048654,           0.0048654
                  11,            0.085469,            0.051749,             0.01975,            0.036966,             0.43995,            0.050095,            0.010877,            0.066323,            0.029867,            0.013069,            0.046257,           0.0052575,           0.0052575
                  12,            0.084035,            0.054166,            0.018767,             0.06374,             0.58946,            0.073442,            0.019169,            0.060912,            0.032436,              0.0141,             0.04164,           0.0056397,           0.0056397
                  13,            0.085904,            0.047933,            0.019986,             0.46887,             0.19608,             0.13734,            0.025968,            0.066645,            0.027031,            0.010977,            0.037012,            0.006012,            0.006012
                  14,            0.084761,            0.052402,            0.018014,              0.5652,             0.44363,             0.28965,            0.066409,            0.051107,            0.031992,            0.010841,            0.032374,           0.0063744,           0.0063744
                  15,            0.082735,            0.050342,            0.018202,             0.48044,              0.2149,             0.24384,            0.058499,            0.063739,            0.031509,            0.010682,            0.027727,           0.0067268,           0.0067268
                  16,            0.084325,            0.045573,            0.017498,            0.082493,             0.57843,             0.10718,            0.025966,            0.063533,            0.028954,           0.0090935,            0.023069,           0.0070694,           0.0070694
                  17,            0.087771,            0.039756,            0.017953,             0.23333,             0.50613,              0.3487,            0.075832,               0.059,            0.025398,           0.0080629,            0.018402,           0.0074021,           0.0074021
                  18,            0.085959,            0.048469,            0.016301,            0.069387,             0.15039,            0.057965,            0.010692,            0.065453,            0.035221,           0.0087942,            0.013725,           0.0077249,           0.0077249
                  19,            0.075369,            0.054743,            0.016341,             0.44813,             0.20833,             0.13789,            0.030846,            0.075046,            0.051096,           0.0080993,           0.0090378,           0.0080378,           0.0080378
                  20,            0.087271,            0.046892,            0.013876,             0.51909,                0.25,              0.2075,            0.049712,            0.066184,            0.022799,           0.0073626,             0.00802,             0.00802,             0.00802
                  21,            0.084137,            0.037494,            0.015395,              0.3033,             0.67034,             0.37811,            0.078438,            0.056962,            0.025429,           0.0070081,             0.00802,             0.00802,             0.00802
                  22,            0.079764,            0.044076,            0.015992,             0.27562,             0.58946,              0.3741,            0.093663,            0.062204,            0.026167,            0.007445,            0.007921,            0.007921,            0.007921
                  23,            0.073416,            0.049053,            0.014344,             0.16484,             0.77574,             0.36578,            0.084002,            0.055114,            0.032995,           0.0072407,            0.007822,            0.007822,            0.007822
                  24,            0.082528,            0.046349,            0.015026,             0.19547,             0.82204,             0.25646,            0.082069,             0.05214,            0.025924,           0.0069077,            0.007723,            0.007723,            0.007723
                  25,            0.081503,            0.042704,            0.015039,             0.20272,             0.63603,             0.38127,             0.15902,            0.065836,            0.030016,           0.0061222,            0.007624,            0.007624,            0.007624
                  26,             0.08331,            0.042018,            0.012144,             0.13316,             0.48407,             0.17616,            0.052532,            0.066227,            0.020131,           0.0061947,            0.007525,            0.007525,            0.007525
                  27,            0.079016,            0.038432,            0.013723,             0.26357,             0.74694,             0.51271,             0.24187,            0.060213,            0.019146,           0.0068224,            0.007426,            0.007426,            0.007426
