               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11997,            0.055243,            0.042467,          0.00020557,            0.020833,           0.0001526,          2.1273e-05,            0.093274,            0.025682,            0.039981,              0.0964,              0.0004,              0.0004
                   1,             0.11562,             0.05696,            0.040479,           0.0012156,            0.025123,          0.00063803,          6.3803e-05,            0.084601,            0.030913,            0.034607,            0.091897,          0.00089703,          0.00089703
                   2,             0.10757,            0.060809,             0.03784,           0.0073556,             0.13297,           0.0063787,           0.0015159,             0.07734,            0.035214,            0.027603,            0.087391,           0.0013908,           0.0013908
                   3,            0.099152,            0.064095,            0.033919,           0.0092062,             0.11581,           0.0064397,           0.0015548,            0.074115,            0.036484,            0.025003,            0.082881,           0.0018812,           0.0018812
                   4,             0.10079,             0.06835,            0.031564,           0.0090655,             0.21446,           0.0089443,           0.0017324,             0.07516,            0.035791,            0.022211,            0.078368,           0.0023683,           0.0023683
                   5,            0.095743,            0.065115,             0.02797,           0.0063501,             0.13051,           0.0041752,           0.0013619,            0.072906,            0.054898,            0.018242,            0.073852,           0.0028522,           0.0028522
                   6,            0.092779,            0.067225,            0.024692,             0.33808,             0.11949,           0.0028389,          0.00075172,            0.079199,            0.077995,              0.0168,            0.069333,           0.0033327,           0.0033327
                   7,            0.091738,            0.066334,            0.023969,             0.34242,             0.20833,           0.0065225,           0.0015207,             0.07679,            0.098385,            0.017276,             0.06481,           0.0038099,           0.0038099
                   8,            0.086659,            0.061841,             0.02501,             0.37847,             0.24326,            0.037605,           0.0072175,            0.068556,            0.065851,            0.017807,            0.060284,           0.0042838,           0.0042838
                   9,             0.09008,            0.066072,            0.020364,            0.019627,             0.34559,            0.018635,           0.0042431,            0.066381,            0.055754,            0.014642,            0.055754,           0.0047545,           0.0047545
                  10,            0.085047,            0.052388,            0.020557,             0.39817,             0.23958,            0.093307,            0.016382,             0.07271,            0.036182,            0.013038,            0.051222,           0.0052218,           0.0052218
                  11,            0.086958,            0.051493,            0.019803,             0.47936,             0.27328,             0.17692,            0.039924,            0.070532,            0.030409,            0.012108,            0.046686,           0.0056858,           0.0056858
                  12,            0.083748,            0.053938,            0.018407,            0.052848,             0.47488,            0.053358,            0.012844,            0.064879,            0.031054,            0.012487,            0.042147,           0.0061466,           0.0061466
                  13,            0.088361,            0.048408,            0.019838,             0.50622,              0.2451,              0.1915,            0.044687,            0.060673,            0.031641,            0.012238,            0.037604,            0.006604,            0.006604
                  14,            0.087564,            0.049944,            0.017647,            0.063109,             0.54779,            0.056332,            0.012448,            0.061043,            0.029063,            0.010794,            0.033058,           0.0070581,           0.0070581
