               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1212,            0.057192,            0.044731,           0.0011412,            0.072917,          0.00073836,          0.00020897,            0.094483,            0.026289,            0.042023,                 0.1,                   0,                   0
                   1,             0.12024,            0.048306,            0.042753,          0.00010092,            0.010417,          8.3329e-05,          1.6666e-05,             0.09517,            0.025285,            0.040668,              0.0991,           9.967e-05,           9.967e-05
                   2,             0.11941,            0.050506,            0.041739,          0.00057417,             0.03125,          0.00034281,          3.4281e-05,            0.094428,            0.025356,             0.04054,            0.098199,          0.00019868,          0.00019868
                   3,             0.11966,            0.062836,            0.042687,          0.00010381,            0.010417,          5.9772e-05,          5.9772e-06,            0.093236,            0.025526,            0.039981,            0.097297,          0.00029703,          0.00029703
                   4,             0.11802,            0.057006,            0.042538,          0.00010352,            0.010417,          6.1102e-05,          6.1102e-06,            0.092041,            0.025636,            0.038992,            0.096395,          0.00039472,          0.00039472
                   5,              0.1166,            0.059587,             0.04076,                   0,                   0,                   0,                   0,            0.091078,            0.025778,            0.037793,            0.095492,          0.00049175,          0.00049175
                   6,             0.11354,            0.064392,            0.040462,                   0,                   0,                   0,                   0,            0.090242,            0.025936,            0.035999,            0.094588,          0.00058812,          0.00058812
                   7,             0.11108,            0.062757,            0.037268,          0.00035143,            0.004902,          0.00017832,          1.7832e-05,            0.088497,            0.026705,            0.033783,            0.093684,          0.00068383,          0.00068383
                   8,             0.10801,            0.073107,            0.037291,           0.0011611,            0.027574,          0.00062009,          0.00010673,            0.087012,            0.027417,            0.031842,            0.092779,          0.00077888,          0.00077888
                   9,               0.106,            0.066672,            0.035206,           0.0035765,            0.074142,           0.0022112,          0.00044154,            0.082381,            0.030276,            0.028619,            0.091873,          0.00087327,          0.00087327
                  10,             0.10356,            0.057443,            0.034928,           0.0035692,            0.068627,           0.0022028,          0.00052263,            0.080413,            0.032241,            0.026706,            0.090967,            0.000967,            0.000967
                  11,             0.10144,            0.075507,              0.0345,           0.0075457,            0.098039,           0.0053919,           0.0007333,            0.079427,            0.033882,            0.025388,             0.09006,           0.0010601,           0.0010601
                  12,            0.097787,            0.063201,            0.032861,            0.003133,            0.071691,           0.0019015,          0.00044185,              0.0782,            0.036188,            0.024156,            0.089152,           0.0011525,           0.0011525
                  13,            0.098401,            0.071825,            0.031551,           0.0033292,             0.10049,           0.0020691,            0.000552,            0.077058,            0.039952,            0.023557,            0.088244,           0.0012442,           0.0012442
                  14,            0.096308,            0.067102,            0.029112,           0.0042782,             0.11765,           0.0026837,          0.00068608,            0.076855,            0.045615,             0.02298,            0.087335,           0.0013353,           0.0013353
                  15,            0.092989,            0.071551,            0.026662,              0.3336,            0.004902,          0.00012053,          2.4106e-05,            0.079391,            0.064648,            0.022275,            0.086426,           0.0014257,           0.0014257
                  16,            0.091632,            0.070786,            0.024826,                   0,                   0,                   0,                   0,            0.081461,            0.090161,            0.021728,            0.085516,           0.0015155,           0.0015155
                  17,            0.093153,            0.067874,            0.025308,                   0,                   0,                   0,                   0,            0.081012,            0.086337,            0.021538,            0.084605,           0.0016046,           0.0016046
                  18,            0.092098,            0.066488,            0.025623,             0.33367,            0.020833,           0.0001359,          2.6416e-05,            0.075778,             0.10651,            0.021355,            0.083693,           0.0016931,           0.0016931
                  19,            0.091712,            0.067681,            0.023864,             0.33346,            0.002451,          5.6841e-05,          5.6841e-06,            0.077301,             0.12388,            0.021721,            0.082781,           0.0017809,           0.0017809
                  20,            0.088669,            0.072918,            0.023833,             0.33435,            0.043505,          0.00050929,          7.9337e-05,            0.073152,             0.14067,            0.022341,            0.081868,            0.001868,            0.001868
                  21,            0.090598,            0.066731,            0.022546,             0.33424,            0.041054,          0.00045183,          7.3734e-05,            0.072727,             0.13306,            0.021968,            0.080954,           0.0019545,           0.0019545
                  22,            0.090222,            0.063181,            0.024457,              0.3362,             0.06924,            0.001565,          0.00026632,             0.07138,             0.13144,            0.022252,             0.08004,           0.0020403,           0.0020403
                  23,            0.087975,            0.056401,            0.023077,             0.34037,             0.18627,           0.0048028,          0.00085243,            0.071035,             0.12592,            0.022047,            0.079125,           0.0021254,           0.0021254
                  24,            0.089109,            0.069153,            0.022629,             0.34189,             0.22304,           0.0064432,           0.0011932,            0.072426,             0.12157,            0.022115,             0.07821,           0.0022099,           0.0022099
                  25,             0.08906,             0.06314,            0.023252,              0.3484,             0.24755,            0.013565,           0.0027615,            0.067026,             0.10225,            0.021261,            0.077294,           0.0022938,           0.0022938
                  26,            0.086566,            0.062879,            0.023546,             0.36162,             0.16115,            0.024878,           0.0053512,            0.064331,            0.091269,            0.020419,            0.076377,           0.0023769,           0.0023769
                  27,            0.085028,            0.056123,            0.021655,             0.37556,             0.23775,            0.033818,           0.0068557,            0.066627,            0.082249,            0.020096,            0.075459,           0.0024594,           0.0024594
                  28,            0.082345,            0.063328,            0.021482,             0.38231,             0.28738,            0.035589,           0.0077166,             0.06952,            0.087727,            0.020288,            0.074541,           0.0025413,           0.0025413
                  29,             0.08162,            0.058581,            0.022668,             0.38522,             0.31924,            0.047598,           0.0076618,            0.063144,            0.082462,            0.020049,            0.073622,           0.0026225,           0.0026225
                  30,            0.082976,            0.053622,            0.019161,              0.3742,             0.28676,            0.032048,           0.0063352,            0.067847,            0.074215,             0.01939,            0.072703,            0.002703,            0.002703
                  31,             0.08297,            0.061381,            0.021795,             0.35952,             0.27022,            0.023314,           0.0042458,            0.063999,            0.070976,            0.018946,            0.071783,           0.0027829,           0.0027829
                  32,            0.081839,             0.05017,            0.019766,             0.38181,             0.25797,             0.05075,            0.011688,            0.066116,            0.068573,            0.018906,            0.070862,           0.0028621,           0.0028621
                  33,            0.081884,            0.047694,            0.019816,             0.40543,             0.22059,            0.059246,           0.0094987,            0.063063,            0.063194,            0.018185,            0.069941,           0.0029406,           0.0029406
                  34,            0.079536,            0.050377,            0.019468,             0.15835,             0.62617,             0.15599,            0.034306,            0.061982,            0.059834,            0.017482,            0.069019,           0.0030185,           0.0030185
                  35,             0.07953,            0.056489,            0.019703,             0.34675,             0.22365,            0.010394,           0.0018276,            0.068643,            0.066334,            0.017538,            0.068096,           0.0030958,           0.0030958
                  36,            0.077511,            0.048308,            0.017558,            0.071983,             0.51042,             0.12899,            0.034294,            0.061307,            0.057549,            0.016988,            0.067172,           0.0031723,           0.0031723
                  37,            0.077973,            0.052068,            0.018306,            0.012359,             0.26532,            0.011947,           0.0025126,            0.066314,             0.06041,            0.016477,            0.066248,           0.0032482,           0.0032482
                  38,            0.082264,            0.049086,             0.01857,              0.7815,             0.18382,             0.17222,            0.043354,             0.06082,            0.051388,            0.015389,            0.065323,           0.0033235,           0.0033235
                  39,            0.075885,             0.04647,            0.017194,            0.016489,             0.30637,            0.014894,           0.0030732,             0.06421,            0.053341,            0.014607,            0.064398,           0.0033981,           0.0033981
                  40,            0.078296,            0.048093,            0.017524,            0.016851,             0.28922,            0.014578,           0.0030316,            0.064113,            0.051445,             0.01441,            0.063472,            0.003472,            0.003472
                  41,            0.080785,             0.05186,            0.018996,             0.80169,             0.16422,             0.21218,             0.05326,            0.060031,            0.042046,             0.01351,            0.062545,           0.0035453,           0.0035453
                  42,            0.078815,            0.046624,            0.017619,            0.013845,             0.26348,            0.011387,           0.0025446,            0.063397,            0.044094,            0.013274,            0.061618,           0.0036179,           0.0036179
                  43,            0.079576,            0.048214,              0.0193,             0.57941,             0.33951,              0.3183,            0.074953,            0.055011,            0.041023,             0.01293,             0.06069,           0.0036898,           0.0036898
                  44,              0.0762,             0.03917,            0.018588,            0.028478,             0.46262,            0.030231,           0.0055477,            0.064557,            0.039444,            0.011761,            0.059761,           0.0037611,           0.0037611
                  45,            0.076159,             0.04125,            0.017464,              0.6467,             0.35784,             0.40353,             0.10465,            0.051328,            0.035002,            0.011299,            0.058832,           0.0038317,           0.0038317
                  46,            0.075627,            0.043523,            0.016918,            0.031941,             0.52267,            0.025683,           0.0046768,            0.062873,            0.040174,            0.010892,            0.057902,           0.0039017,           0.0039017
                  47,            0.074104,            0.041918,            0.015979,             0.72713,             0.42478,             0.46041,             0.12934,            0.050008,            0.036049,            0.010497,            0.056971,            0.003971,            0.003971
                  48,            0.076895,            0.046448,            0.016921,            0.042894,             0.71324,            0.047487,            0.008322,            0.064811,            0.044586,            0.010293,             0.05604,           0.0040397,           0.0040397
                  49,            0.075014,            0.046656,            0.018484,             0.70531,             0.39601,             0.43175,             0.13059,            0.051163,            0.036722,           0.0096691,            0.055108,           0.0041077,           0.0041077
                  50,            0.072921,            0.043229,            0.016606,            0.057665,             0.71107,            0.080112,            0.019651,            0.063186,            0.038374,           0.0093927,            0.054175,            0.004175,            0.004175
                  51,            0.076914,            0.041019,            0.016514,             0.67943,             0.46078,             0.43011,              0.1499,            0.046644,            0.035978,           0.0091827,            0.053242,           0.0042417,           0.0042417
                  52,             0.07231,            0.045525,            0.016033,            0.074023,             0.74877,              0.0929,            0.026942,            0.063121,            0.041977,           0.0090334,            0.052308,           0.0043077,           0.0043077
                  53,            0.076202,            0.043358,            0.014734,             0.12853,             0.79718,             0.25903,            0.079169,            0.055474,             0.03203,           0.0086984,            0.051373,            0.004373,            0.004373
                  54,            0.074862,            0.044357,            0.014336,             0.19159,              0.8315,             0.30436,            0.066916,            0.047452,            0.030546,           0.0086552,            0.050438,           0.0044377,           0.0044377
                  55,            0.074199,            0.040249,            0.016525,             0.46213,              0.1875,              0.1791,            0.046403,            0.067229,            0.030386,           0.0085779,            0.049502,           0.0045017,           0.0045017
                  56,            0.074687,             0.04681,            0.014928,             0.75213,             0.44067,             0.50844,             0.12663,            0.043763,            0.033013,           0.0087902,            0.048565,           0.0045651,           0.0045651
                  57,            0.071478,            0.047225,            0.016272,             0.10835,             0.78615,             0.19309,            0.052163,            0.059517,            0.033432,           0.0083427,            0.047628,           0.0046278,           0.0046278
                  58,            0.072438,             0.03882,            0.017145,             0.16565,             0.87194,             0.32424,            0.087653,            0.054423,             0.02644,           0.0080515,             0.04669,           0.0046899,           0.0046899
                  59,            0.076244,            0.039802,            0.017142,             0.40408,             0.52328,             0.46987,             0.17315,            0.043925,            0.026133,           0.0078226,            0.045751,           0.0047513,           0.0047513
                  60,            0.071017,            0.045616,            0.015275,             0.71067,             0.44608,             0.46923,             0.10668,            0.045907,            0.026302,           0.0077522,            0.044812,            0.004812,            0.004812
                  61,            0.069029,            0.040663,            0.016254,             0.54243,             0.38358,             0.28218,            0.065427,            0.054171,            0.028101,           0.0075974,            0.043872,           0.0048721,           0.0048721
                  62,            0.073342,            0.040688,            0.013928,             0.73864,             0.57966,             0.60469,             0.19231,            0.046508,            0.024429,           0.0073371,            0.042931,           0.0049315,           0.0049315
                  63,            0.069558,            0.041463,            0.013466,             0.13832,             0.71998,             0.14139,             0.03121,            0.060608,            0.030056,            0.007588,             0.04199,           0.0049902,           0.0049902
                  64,            0.073594,            0.040129,            0.013648,             0.35757,             0.87876,             0.52351,             0.13128,            0.049404,            0.024649,           0.0075777,            0.041048,           0.0050483,           0.0050483
                  65,            0.069083,            0.036387,            0.015043,             0.27072,              0.9324,             0.45417,             0.15546,            0.051459,            0.022557,           0.0073219,            0.040106,           0.0051057,           0.0051057
                  66,            0.074929,            0.041796,            0.012389,             0.31113,             0.87211,             0.39646,             0.12098,            0.047777,            0.023561,           0.0074266,            0.039163,           0.0051625,           0.0051625
                  67,            0.067842,            0.041409,            0.015487,             0.26618,             0.82292,             0.32333,              0.1184,            0.046053,            0.024611,           0.0073191,            0.038219,           0.0052186,           0.0052186
                  68,            0.069865,            0.037325,            0.013403,             0.34048,             0.89528,             0.58462,             0.24569,             0.05178,            0.023948,           0.0067552,            0.037274,           0.0052741,           0.0052741
                  69,            0.065782,            0.043382,             0.01181,             0.31183,              0.9663,             0.56419,             0.19652,            0.049235,            0.027217,           0.0068504,            0.036329,           0.0053289,           0.0053289
                  70,            0.069472,            0.034982,            0.012873,             0.39143,             0.63146,             0.68077,             0.28836,            0.053036,            0.022702,           0.0064968,            0.035383,            0.005383,            0.005383
                  71,            0.069944,            0.035856,            0.013317,             0.48623,             0.79402,             0.64863,             0.15454,             0.05194,            0.022897,            0.006637,            0.034436,           0.0054365,           0.0054365
                  72,            0.068548,            0.039329,            0.011064,             0.30941,             0.71335,              0.4451,             0.14584,            0.051308,            0.021456,           0.0064734,            0.033489,           0.0054893,           0.0054893
                  73,             0.06508,            0.038928,            0.012795,             0.21128,             0.71875,             0.22937,            0.093441,            0.051207,            0.022224,           0.0062588,            0.032541,           0.0055414,           0.0055414
                  74,            0.070437,            0.041436,            0.012724,             0.68801,             0.84628,             0.87314,             0.21786,            0.044855,            0.021559,           0.0060608,            0.031593,           0.0055929,           0.0055929
                  75,            0.068267,            0.040131,             0.01259,             0.18297,             0.50701,              0.1917,            0.056584,            0.058348,            0.024208,           0.0057901,            0.030644,           0.0056438,           0.0056438
                  76,            0.072614,            0.040291,            0.012435,              0.7715,              0.9736,              0.9497,             0.42373,            0.039169,            0.021891,            0.005971,            0.029694,           0.0056939,           0.0056939
                  77,            0.068963,            0.040323,              0.0138,             0.52511,             0.84537,             0.75065,             0.25206,            0.051111,            0.023468,           0.0057455,            0.028743,           0.0057434,           0.0057434
                  78,            0.064814,            0.041231,            0.012673,             0.55266,             0.76463,             0.70136,             0.15244,            0.046115,            0.022039,             0.00592,            0.027792,           0.0057923,           0.0057923
                  79,            0.069662,            0.036414,            0.014256,             0.66529,             0.89617,             0.85719,              0.4068,            0.042852,            0.020917,           0.0056213,             0.02684,           0.0058405,           0.0058405
                  80,            0.063004,            0.038786,             0.01099,             0.66379,             0.94343,             0.91427,             0.37055,            0.042556,            0.021712,           0.0054319,            0.025888,            0.005888,            0.005888
                  81,            0.065903,            0.037769,            0.012098,             0.67158,             0.91494,             0.92144,             0.21654,            0.045019,            0.023718,           0.0052975,            0.024935,           0.0059349,           0.0059349
                  82,            0.067378,            0.033116,            0.011307,              0.5258,             0.71639,             0.67622,             0.32093,            0.053907,            0.021901,           0.0053063,            0.023981,           0.0059811,           0.0059811
                  83,            0.069311,            0.033174,            0.011422,             0.45954,             0.68321,             0.52212,             0.17133,            0.042302,            0.021674,           0.0056797,            0.023027,           0.0060266,           0.0060266
                  84,             0.05992,            0.037323,            0.010621,             0.71434,             0.92226,             0.92324,             0.36495,            0.047568,            0.021343,           0.0052932,            0.022072,           0.0060715,           0.0060715
                  85,            0.069624,            0.037156,            0.010402,             0.76179,              0.8824,             0.87003,             0.34409,            0.046423,            0.022187,           0.0052534,            0.021116,           0.0061157,           0.0061157
                  86,            0.065909,            0.035117,            0.010179,             0.54507,             0.83824,             0.59077,             0.19129,            0.046809,            0.024502,           0.0053123,            0.020159,           0.0061593,           0.0061593
                  87,            0.068645,            0.032713,            0.011233,             0.65573,             0.91294,             0.76654,             0.40803,            0.048301,            0.025306,           0.0050523,            0.019202,           0.0062022,           0.0062022
                  88,            0.063773,            0.039247,            0.010975,             0.79724,             0.87031,             0.86448,             0.42313,            0.046067,            0.022361,           0.0051481,            0.018244,           0.0062445,           0.0062445
                  89,            0.061908,            0.037021,            0.011939,             0.83564,              0.9158,             0.94078,             0.35593,            0.039067,            0.020858,           0.0051567,            0.017286,           0.0062861,           0.0062861
                  90,            0.062287,            0.036739,            0.011535,             0.63729,             0.83488,             0.73833,             0.18483,            0.054013,            0.021744,           0.0048969,            0.016327,            0.006327,            0.006327
                  91,            0.072604,            0.037977,            0.011818,             0.82194,             0.92677,             0.93176,             0.42604,            0.036288,            0.022024,           0.0048483,            0.015367,           0.0063673,           0.0063673
                  92,            0.055643,            0.038283,            0.011234,             0.17307,             0.66667,             0.19276,            0.042071,            0.062057,            0.031569,           0.0045164,            0.014407,           0.0064069,           0.0064069
                  93,            0.070729,            0.037957,           0.0094614,             0.93156,             0.94485,             0.98883,             0.47073,            0.033063,            0.022478,            0.004652,            0.013446,           0.0064458,           0.0064458
                  94,            0.054331,            0.038215,            0.010331,             0.48083,             0.63542,              0.6075,             0.15915,             0.04748,            0.026551,            0.004246,            0.012484,           0.0064841,           0.0064841
                  95,            0.071051,            0.034946,           0.0092799,             0.88854,             0.91175,             0.96401,             0.37375,             0.04608,            0.024483,            0.004123,            0.011522,           0.0065217,           0.0065217
                  96,            0.062954,            0.035029,            0.010146,             0.73516,              0.9273,             0.88667,             0.28914,            0.045472,            0.023251,           0.0041542,            0.010559,           0.0065587,           0.0065587
                  97,            0.061648,            0.032975,           0.0099284,             0.77657,             0.91361,             0.79623,              0.2384,            0.039468,            0.021633,           0.0041811,            0.009595,            0.006595,            0.006595
                  98,            0.060278,            0.035291,            0.011662,             0.80894,             0.83299,             0.86011,             0.39362,            0.045035,            0.021469,           0.0038183,           0.0086307,           0.0066307,           0.0066307
                  99,             0.06324,            0.035826,            0.011113,             0.94289,             0.99454,             0.99056,             0.27402,            0.039536,            0.021685,           0.0039671,           0.0076657,           0.0066657,           0.0066657
                 100,            0.059127,             0.03453,            0.010475,             0.79929,              0.8993,             0.92113,             0.29043,            0.044804,            0.023727,           0.0034987,              0.0067,              0.0067,              0.0067
                 101,            0.061906,            0.038708,           0.0095838,             0.89619,             0.97816,             0.98252,             0.26778,            0.042007,            0.023114,           0.0036867,              0.0067,              0.0067,              0.0067
                 102,            0.061626,            0.037222,           0.0092199,             0.82285,              0.9326,             0.94734,             0.38095,            0.041648,            0.023493,           0.0033772,            0.006667,            0.006667,            0.006667
                 103,            0.059313,            0.037133,             0.00807,             0.83508,             0.87735,             0.86686,             0.31518,            0.042926,            0.023316,           0.0034716,            0.006634,            0.006634,            0.006634
                 104,            0.061514,            0.036924,            0.012286,             0.92034,              0.9375,             0.95726,              0.3697,            0.037836,            0.022788,           0.0033305,            0.006601,            0.006601,            0.006601
                 105,            0.058334,            0.037331,           0.0091908,              0.9361,             0.95217,             0.96823,             0.28626,            0.041373,            0.021798,           0.0033883,            0.006568,            0.006568,            0.006568
                 106,             0.05464,            0.030327,           0.0084401,             0.76154,             0.92892,             0.92739,              0.3613,            0.043463,            0.022308,           0.0031754,            0.006535,            0.006535,            0.006535
                 107,            0.060699,            0.029827,           0.0084828,             0.83962,             0.94301,             0.93822,             0.34792,            0.037297,             0.02132,           0.0032827,            0.006502,            0.006502,            0.006502
                 108,            0.054586,             0.03433,           0.0095708,             0.69696,             0.78126,             0.78181,             0.26132,            0.044422,            0.022081,           0.0030636,            0.006469,            0.006469,            0.006469
                 109,            0.058608,              0.0339,           0.0090994,             0.82394,              0.8289,             0.90998,             0.37405,            0.040398,            0.020736,            0.003035,            0.006436,            0.006436,            0.006436
                 110,            0.057186,            0.034463,            0.010818,             0.84786,             0.88244,             0.95846,              0.4281,            0.035665,            0.020913,           0.0028124,            0.006403,            0.006403,            0.006403
                 111,            0.054342,            0.033522,           0.0076939,             0.84822,             0.99348,             0.92201,             0.32612,            0.035785,            0.021067,           0.0026064,             0.00637,             0.00637,             0.00637
                 112,            0.056156,            0.037847,            0.010545,             0.72833,             0.88566,             0.88759,             0.41305,            0.039559,            0.023179,           0.0022771,            0.006337,            0.006337,            0.006337
                 113,             0.05664,            0.036452,           0.0084256,             0.90465,              0.9904,             0.95806,             0.46633,            0.040004,            0.020768,           0.0024862,            0.006304,            0.006304,            0.006304
                 114,            0.053131,            0.029201,            0.010945,             0.81356,             0.84375,             0.92104,             0.47276,             0.03636,            0.020477,           0.0024053,            0.006271,            0.006271,            0.006271
                 115,            0.055506,            0.039314,           0.0072526,             0.76234,             0.86559,             0.87897,             0.37393,            0.038428,            0.020432,           0.0022468,            0.006238,            0.006238,            0.006238
                 116,            0.057621,            0.036053,           0.0087149,             0.78705,             0.89743,             0.93022,             0.40484,            0.035798,            0.024178,           0.0021987,            0.006205,            0.006205,            0.006205
                 117,            0.053904,            0.030811,           0.0085916,             0.74636,             0.96978,                0.95,              0.4257,            0.035499,            0.022741,           0.0020179,            0.006172,            0.006172,            0.006172
                 118,            0.050199,            0.034942,           0.0080109,              0.7282,             0.98508,             0.89321,              0.3774,            0.038136,            0.022816,           0.0019103,            0.006139,            0.006139,            0.006139
                 119,            0.053928,            0.035089,           0.0089914,              0.8181,             0.97583,             0.96422,             0.54577,             0.03312,            0.020455,           0.0016574,            0.006106,            0.006106,            0.006106
                 120,            0.050942,            0.031068,           0.0078005,             0.70004,             0.98039,             0.92809,             0.29084,            0.043069,            0.023894,           0.0016757,            0.006073,            0.006073,            0.006073
                 121,            0.053187,            0.034972,           0.0085767,             0.83798,             0.89318,             0.94895,             0.52664,            0.034405,            0.022093,           0.0016465,             0.00604,             0.00604,             0.00604
                 122,            0.049445,            0.037701,           0.0077551,             0.88255,                   1,             0.97602,             0.52317,            0.034875,            0.023572,           0.0016482,            0.006007,            0.006007,            0.006007
                 123,             0.05335,            0.031443,           0.0093449,             0.77925,              0.9902,             0.93019,             0.45153,            0.037369,            0.022945,           0.0016548,            0.005974,            0.005974,            0.005974
                 124,            0.047456,            0.033032,           0.0075387,             0.88888,             0.96459,             0.98561,             0.45522,            0.039204,            0.022069,           0.0015681,            0.005941,            0.005941,            0.005941
                 125,            0.053656,            0.032108,           0.0098702,             0.86766,             0.89928,             0.96019,             0.51083,            0.033761,            0.019957,           0.0015993,            0.005908,            0.005908,            0.005908
                 126,            0.047693,            0.034552,           0.0093189,             0.90117,                   1,             0.98667,             0.47699,            0.031507,            0.019625,           0.0015338,            0.005875,            0.005875,            0.005875
                 127,            0.051844,            0.031886,           0.0072677,             0.88192,             0.95585,             0.97191,             0.46308,            0.033767,            0.020279,           0.0015327,            0.005842,            0.005842,            0.005842
                 128,            0.048225,            0.038259,           0.0090619,             0.77526,             0.99443,             0.94647,             0.46091,            0.036523,            0.023155,           0.0013587,            0.005809,            0.005809,            0.005809
                 129,              0.0531,            0.031761,           0.0078251,             0.88072,             0.93746,             0.94164,             0.41429,            0.041024,             0.02219,           0.0014122,            0.005776,            0.005776,            0.005776
                 130,            0.053583,             0.03162,           0.0059123,             0.71247,             0.95772,             0.89428,             0.39579,             0.03529,            0.019496,           0.0014005,            0.005743,            0.005743,            0.005743
                 131,             0.05019,            0.033736,           0.0079678,             0.73364,             0.95037,             0.84644,             0.41532,            0.035632,             0.01889,           0.0014176,             0.00571,             0.00571,             0.00571
                 132,            0.046945,            0.033177,           0.0084604,             0.92626,                   1,             0.97414,             0.50797,            0.030818,            0.019279,           0.0013421,            0.005677,            0.005677,            0.005677
                 133,            0.048416,            0.034662,           0.0073197,             0.73372,             0.99833,             0.85819,             0.37406,            0.037555,            0.020194,           0.0013332,            0.005644,            0.005644,            0.005644
                 134,             0.05044,            0.035559,           0.0068751,             0.85848,                   1,             0.95133,             0.48379,             0.03447,            0.019272,           0.0013043,            0.005611,            0.005611,            0.005611
                 135,            0.049731,            0.030878,            0.007697,             0.93099,                   1,             0.97401,             0.51102,            0.031363,            0.019139,            0.001389,            0.005578,            0.005578,            0.005578
                 136,            0.045948,            0.032881,           0.0063256,             0.95953,                   1,             0.98574,             0.45238,            0.039142,             0.02166,           0.0013035,            0.005545,            0.005545,            0.005545
                 137,            0.049866,            0.033535,           0.0077026,             0.99673,                   1,               0.995,             0.50817,             0.02995,            0.019617,           0.0014119,            0.005512,            0.005512,            0.005512
                 138,            0.044021,            0.031396,            0.006403,             0.91262,                   1,             0.97622,             0.46002,            0.033679,            0.020284,            0.001252,            0.005479,            0.005479,            0.005479
                 139,            0.052502,            0.033395,           0.0084771,             0.94335,                   1,             0.98572,             0.50931,            0.036651,            0.020344,           0.0013458,            0.005446,            0.005446,            0.005446
                 140,            0.045996,            0.033031,           0.0090778,             0.90741,                   1,             0.96575,             0.44538,            0.032372,            0.019677,            0.001292,            0.005413,            0.005413,            0.005413
                 141,            0.051023,            0.031326,           0.0083195,             0.82324,                   1,             0.90775,             0.47945,             0.03766,            0.019325,            0.001353,             0.00538,             0.00538,             0.00538
                 142,            0.044654,             0.02714,           0.0063028,             0.99321,                   1,               0.995,             0.57508,             0.02915,            0.018631,           0.0012557,            0.005347,            0.005347,            0.005347
                 143,            0.047177,             0.03245,           0.0064507,             0.92469,             0.99265,             0.98514,              0.4218,            0.037636,            0.021357,           0.0012451,            0.005314,            0.005314,            0.005314
